[DEBUG][2015-11-12 22:07:11,310][org.springframework.core.env.StandardEnvironment]Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment]
[DEBUG][2015-11-12 22:07:11,312][org.springframework.core.io.support.PathMatchingResourcePatternResolver]Looking for matching resources in directory tree [/Users/mayuxiang/AliDrive/July/target/test-classes/com/July/dao]
[DEBUG][2015-11-12 22:07:11,313][org.springframework.core.io.support.PathMatchingResourcePatternResolver]Searching directory [/Users/mayuxiang/AliDrive/July/target/test-classes/com/July/dao] for files matching pattern [/Users/mayuxiang/AliDrive/July/target/test-classes/com/July/dao/**/*.class]
[DEBUG][2015-11-12 22:07:11,314][org.springframework.core.io.support.PathMatchingResourcePatternResolver]Looking for matching resources in directory tree [/Users/mayuxiang/AliDrive/July/target/classes/com/July/dao]
[DEBUG][2015-11-12 22:07:11,314][org.springframework.core.io.support.PathMatchingResourcePatternResolver]Searching directory [/Users/mayuxiang/AliDrive/July/target/classes/com/July/dao] for files matching pattern [/Users/mayuxiang/AliDrive/July/target/classes/com/July/dao/**/*.class]
[DEBUG][2015-11-12 22:07:11,315][org.springframework.core.io.support.PathMatchingResourcePatternResolver]Resolved location pattern [classpath*:com/July/dao/**/*.class] to resources [file [/Users/mayuxiang/AliDrive/July/target/test-classes/com/July/dao/TestUserDao.class], file [/Users/mayuxiang/AliDrive/July/target/classes/com/July/dao/UserMapper.class]]
[DEBUG][2015-11-12 22:07:11,338][org.mybatis.spring.mapper.ClassPathMapperScanner]Ignored because not a concrete top-level class: file [/Users/mayuxiang/AliDrive/July/target/test-classes/com/July/dao/TestUserDao.class]
[DEBUG][2015-11-12 22:07:11,339][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [/Users/mayuxiang/AliDrive/July/target/classes/com/July/dao/UserMapper.class]
[DEBUG][2015-11-12 22:07:11,339][org.mybatis.spring.mapper.ClassPathMapperScanner]Creating MapperFactoryBean with name 'userMapper' and 'com.July.dao.UserMapper' mapperInterface
[DEBUG][2015-11-12 22:07:11,346][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'org.springframework.beans.factory.config.PropertyPlaceholderConfigurer#0'
